salesorderid,customerid,orderdate,orderquantity,productid,unitprice,linetotal
47904,16562,2012-09-22,1,795,2181.5625,2181.5625
47905,29336,2012-09-22,1,793,2181.5625,2181.5625
47906,27082,2012-09-22,1,768,782.99,782.99
47907,21999,2012-09-22,1,790,2443.35,2443.35
47908,20468,2012-09-22,1,784,2049.0982,2049.0982
47909,12999,2012-09-22,1,781,2071.4196,2071.4196
47910,13049,2012-09-22,1,779,2071.4196,2071.4196
47911,13077,2012-09-22,1,782,2049.0982,2049.0982
47912,28724,2012-09-23,1,783,2049.0982,2049.0982
47913,29159,2012-09-23,1,789,2443.35,2443.35
47914,20556,2012-09-23,1,766,782.99,782.99
47915,26351,2012-09-23,1,783,2049.0982,2049.0982
47916,24903,2012-09-23,1,798,1000.4375,1000.4375
47917,13001,2012-09-23,1,782,2049.0982,2049.0982
47918,13006,2012-09-23,1,784,2049.0982,2049.0982
47919,17216,2012-09-24,1,797,1000.4375,1000.4375
47920,12282,2012-09-24,1,782,2049.0982,2049.0982
47921,14796,2012-09-24,1,796,2181.5625,2181.5625
47922,13468,2012-09-24,1,796,2181.5625,2181.5625
47923,26486,2012-09-24,1,782,2049.0982,2049.0982
47924,22171,2012-09-24,1,795,2181.5625,2181.5625
47925,24900,2012-09-24,1,799,1000.4375,1000.4375
47926,13079,2012-09-24,1,783,2049.0982,2049.0982
47927,26188,2012-09-24,1,764,782.99,782.99
47928,29154,2012-09-25,1,795,2181.5625,2181.5625
47929,29281,2012-09-25,1,789,2443.35,2443.35
47930,21982,2012-09-25,1,795,2181.5625,2181.5625
47931,16531,2012-09-26,1,791,2443.35,2443.35
47932,16561,2012-09-26,1,793,2181.5625,2181.5625
47933,16270,2012-09-26,1,793,2181.5625,2181.5625
47934,14106,2012-09-26,1,799,1000.4375,1000.4375
47935,22194,2012-09-26,1,794,2181.5625,2181.5625
47936,26192,2012-09-26,1,761,782.99,782.99
47937,20549,2012-09-27,1,759,782.99,782.99
47938,21969,2012-09-27,1,792,2181.5625,2181.5625
47939,21987,2012-09-27,1,792,2181.5625,2181.5625
47940,12994,2012-09-27,1,780,2071.4196,2071.4196
47941,13010,2012-09-27,1,781,2071.4196,2071.4196
47942,26167,2012-09-27,1,767,782.99,782.99
47943,17196,2012-09-28,1,799,1000.4375,1000.4375
47944,28690,2012-09-28,1,784,2049.0982,2049.0982
47945,14791,2012-09-28,1,791,2443.35,2443.35
47946,14802,2012-09-28,1,790,2443.35,2443.35
47947,14109,2012-09-28,1,800,1000.4375,1000.4375
47948,13450,2012-09-28,1,790,2443.35,2443.35
47949,13477,2012-09-28,1,795,2181.5625,2181.5625
47950,26484,2012-09-28,1,781,2071.4196,2071.4196
47951,12700,2012-09-28,1,781,2071.4196,2071.4196
47952,22193,2012-09-28,1,790,2443.35,2443.35
47953,21974,2012-09-28,1,790,2443.35,2443.35
47954,26191,2012-09-28,1,760,782.99,782.99
47955,16554,2012-09-29,1,795,2181.5625,2181.5625
47956,16271,2012-09-29,1,790,2443.35,2443.35
47957,14095,2012-09-29,1,801,1000.4375,1000.4375
47958,15349,2012-09-29,1,763,782.99,782.99
47959,26189,2012-09-29,1,762,782.99,782.99
48093,16588,2012-09-30,1,795,2181.5625,2181.5625
48094,13657,2012-09-30,1,791,2443.35,2443.35
48095,20590,2012-09-30,1,765,782.99,782.99
48096,15398,2012-09-30,1,763,782.99,782.99
48097,22412,2012-09-30,1,790,2443.35,2443.35
48098,22400,2012-09-30,1,795,2181.5625,2181.5625
48099,12128,2012-10-01,1,783,2049.0982,2049.0982
48100,26546,2012-10-01,1,781,2071.4196,2071.4196
48101,22575,2012-10-01,1,790,2443.35,2443.35
48102,22576,2012-10-01,1,796,2181.5625,2181.5625
48103,16389,2012-10-02,1,795,2181.5625,2181.5625
48104,20859,2012-10-02,1,760,782.99,782.99
48105,26513,2012-10-02,1,781,2071.4196,2071.4196
48106,20546,2012-10-02,1,783,2049.0982,2049.0982
48107,22580,2012-10-02,1,791,2443.35,2443.35
48108,24905,2012-10-02,1,801,1000.4375,1000.4375
48109,13489,2012-10-03,1,790,2443.35,2443.35
48110,16307,2012-10-04,1,792,2181.5625,2181.5625
48111,14112,2012-10-04,1,798,1000.4375,1000.4375
48112,13712,2012-10-04,1,792,2181.5625,2181.5625
48113,20716,2012-10-04,1,766,782.99,782.99
48114,26439,2012-10-04,1,759,782.99,782.99
48115,26442,2012-10-04,1,759,782.99,782.99
48116,19312,2012-10-05,1,797,1000.4375,1000.4375
48117,14930,2012-10-05,1,795,2181.5625,2181.5625
48118,16309,2012-10-05,1,795,2181.5625,2181.5625
48119,14851,2012-10-05,1,792,2181.5625,2181.5625
48120,15388,2012-10-05,1,761,782.99,782.99
48121,22410,2012-10-05,1,790,2443.35,2443.35
48122,22207,2012-10-05,1,790,2443.35,2443.35
48123,13080,2012-10-05,1,783,2049.0982,2049.0982
48124,26436,2012-10-05,1,762,782.99,782.99
48125,14239,2012-10-06,1,801,1000.4375,1000.4375
48126,14115,2012-10-06,1,800,1000.4375,1000.4375
48127,20598,2012-10-06,1,770,782.99,782.99
48128,26534,2012-10-06,1,779,2071.4196,2071.4196
48129,22582,2012-10-06,1,795,2181.5625,2181.5625
48130,16829,2012-10-07,1,789,2443.35,2443.35
48131,20483,2012-10-07,1,783,2049.0982,2049.0982
48132,26521,2012-10-07,1,779,2071.4196,2071.4196
48133,22571,2012-10-07,1,795,2181.5625,2181.5625
48134,22202,2012-10-07,1,792,2181.5625,2181.5625
48135,24910,2012-10-07,1,798,1000.4375,1000.4375
48136,13082,2012-10-07,1,780,2071.4196,2071.4196
48137,12130,2012-10-08,1,779,2071.4196,2071.4196
48138,14818,2012-10-08,1,793,2181.5625,2181.5625
48139,22857,2012-10-08,1,791,2443.35,2443.35
48140,15374,2012-10-08,1,764,782.99,782.99
48141,12299,2012-10-09,1,780,2071.4196,2071.4196
48142,12213,2012-10-09,1,784,2049.0982,2049.0982
48143,20720,2012-10-09,1,762,782.99,782.99
48144,16823,2012-10-09,1,791,2443.35,2443.35
48145,26491,2012-10-09,1,784,2049.0982,2049.0982
48146,22578,2012-10-09,1,792,2181.5625,2181.5625
48147,22845,2012-10-09,1,795,2181.5625,2181.5625
48148,11614,2012-10-10,1,784,2049.0982,2049.0982
48149,16298,2012-10-10,1,792,2181.5625,2181.5625
48150,16822,2012-10-10,1,790,2443.35,2443.35
48151,19280,2012-10-10,1,765,782.99,782.99
48152,26536,2012-10-10,1,779,2071.4196,2071.4196
48153,26575,2012-10-10,1,784,2049.0982,2049.0982
48154,22402,2012-10-10,1,795,2181.5625,2181.5625
48155,22408,2012-10-10,1,792,2181.5625,2181.5625
48156,22581,2012-10-10,1,795,2181.5625,2181.5625
48157,22851,2012-10-10,1,792,2181.5625,2181.5625
48158,26433,2012-10-10,1,763,782.99,782.99
48159,19322,2012-10-11,1,801,1000.4375,1000.4375
48160,14848,2012-10-11,1,792,2181.5625,2181.5625
48161,16938,2012-10-11,1,792,2181.5625,2181.5625
48162,13714,2012-10-11,1,790,2443.35,2443.35
48163,22854,2012-10-11,1,794,2181.5625,2181.5625
48164,26438,2012-10-11,1,763,782.99,782.99
48165,16327,2012-10-12,1,793,2181.5625,2181.5625
48166,13484,2012-10-12,1,789,2443.35,2443.35
48167,26539,2012-10-12,1,784,2049.0982,2049.0982
48168,22904,2012-10-12,1,793,2181.5625,2181.5625
48169,13653,2012-10-13,1,795,2181.5625,2181.5625
48170,11613,2012-10-13,1,780,2071.4196,2071.4196
48171,16313,2012-10-13,1,791,2443.35,2443.35
48172,13658,2012-10-13,1,790,2443.35,2443.35
48173,13704,2012-10-13,1,794,2181.5625,2181.5625
48174,16827,2012-10-14,1,791,2443.35,2443.35
48175,26545,2012-10-14,1,780,2071.4196,2071.4196
48176,15379,2012-10-14,1,767,782.99,782.99
48177,17633,2012-10-15,1,799,1000.4375,1000.4375
48178,12125,2012-10-15,1,779,2071.4196,2071.4196
48179,16828,2012-10-15,1,790,2443.35,2443.35
48180,16316,2012-10-15,1,796,2181.5625,2181.5625
48181,13705,2012-10-15,1,791,2443.35,2443.35
48182,26600,2012-10-15,1,783,2049.0982,2049.0982
48183,22583,2012-10-15,1,793,2181.5625,2181.5625
48184,24908,2012-10-15,1,797,1000.4375,1000.4375
48185,12286,2012-10-16,1,783,2049.0982,2049.0982
48186,16297,2012-10-16,1,796,2181.5625,2181.5625
48187,20862,2012-10-16,1,766,782.99,782.99
48188,22579,2012-10-16,1,795,2181.5625,2181.5625
48189,15371,2012-10-16,1,761,782.99,782.99
48190,26443,2012-10-16,1,760,782.99,782.99
48191,19292,2012-10-17,1,764,782.99,782.99
48192,13702,2012-10-17,1,795,2181.5625,2181.5625
48193,26499,2012-10-17,1,779,2071.4196,2071.4196
48194,22401,2012-10-17,1,790,2443.35,2443.35
48195,22399,2012-10-17,1,792,2181.5625,2181.5625
48196,26440,2012-10-17,1,762,782.99,782.99
48197,26422,2012-10-17,1,760,782.99,782.99
48198,18164,2012-10-18,1,801,1000.4375,1000.4375
48199,16595,2012-10-18,1,793,2181.5625,2181.5625
48200,26537,2012-10-18,1,782,2049.0982,2049.0982
48201,26601,2012-10-18,1,781,2071.4196,2071.4196
48202,12225,2012-10-19,1,781,2071.4196,2071.4196
48203,12226,2012-10-19,1,783,2049.0982,2049.0982
48204,26445,2012-10-19,1,766,782.99,782.99
48205,26509,2012-10-19,1,784,2049.0982,2049.0982
48206,26538,2012-10-19,1,779,2071.4196,2071.4196
48207,22407,2012-10-19,1,793,2181.5625,2181.5625
48208,22201,2012-10-19,1,791,2443.35,2443.35
48209,15369,2012-10-19,1,759,782.99,782.99
48210,13089,2012-10-19,1,780,2071.4196,2071.4196
48211,17634,2012-10-20,1,799,1000.4375,1000.4375
48212,12289,2012-10-20,1,784,2049.0982,2049.0982
48213,12292,2012-10-20,1,782,2049.0982,2049.0982
48214,16409,2012-10-20,1,789,2443.35,2443.35
48215,26482,2012-10-20,1,800,1000.4375,1000.4375
48216,20719,2012-10-20,1,761,782.99,782.99
48217,15380,2012-10-20,1,761,782.99,782.99
48218,16594,2012-10-21,1,789,2443.35,2443.35
48219,26511,2012-10-21,1,780,2071.4196,2071.4196
48220,22409,2012-10-21,1,794,2181.5625,2181.5625
48221,15365,2012-10-21,1,767,782.99,782.99
48222,14116,2012-10-22,1,797,1000.4375,1000.4375
48223,14120,2012-10-22,1,798,1000.4375,1000.4375
48224,26581,2012-10-22,1,780,2071.4196,2071.4196
48225,22573,2012-10-22,1,792,2181.5625,2181.5625
48226,26444,2012-10-22,1,762,782.99,782.99
48227,14813,2012-10-23,1,789,2443.35,2443.35
48228,16598,2012-10-23,1,789,2443.35,2443.35
48229,26510,2012-10-23,1,780,2071.4196,2071.4196
48230,26530,2012-10-23,1,783,2049.0982,2049.0982
48231,26579,2012-10-23,1,784,2049.0982,2049.0982
48232,15396,2012-10-23,1,764,782.99,782.99
48233,22850,2012-10-23,1,792,2181.5625,2181.5625
48234,22203,2012-10-23,1,793,2181.5625,2181.5625
48235,15367,2012-10-23,1,759,782.99,782.99
48236,26423,2012-10-23,1,768,782.99,782.99
48237,14925,2012-10-24,1,796,2181.5625,2181.5625
48238,16831,2012-10-24,1,789,2443.35,2443.35
48239,13700,2012-10-24,1,793,2181.5625,2181.5625
48240,20856,2012-10-24,1,760,782.99,782.99
48241,26520,2012-10-24,1,783,2049.0982,2049.0982
48242,26532,2012-10-24,1,781,2071.4196,2071.4196
48243,22411,2012-10-24,1,792,2181.5625,2181.5625
48244,22860,2012-10-24,1,792,2181.5625,2181.5625
48245,12129,2012-10-25,1,780,2071.4196,2071.4196
48246,12218,2012-10-25,1,780,2071.4196,2071.4196
48247,16390,2012-10-25,1,793,2181.5625,2181.5625
48248,20852,2012-10-25,1,763,782.99,782.99
48249,15394,2012-10-25,1,767,782.99,782.99
48250,22572,2012-10-25,1,791,2443.35,2443.35
48251,17641,2012-10-26,1,801,1000.4375,1000.4375
48252,20864,2012-10-26,1,759,782.99,782.99
48253,14926,2012-10-26,1,790,2443.35,2443.35
48254,14117,2012-10-26,1,798,1000.4375,1000.4375
48255,26496,2012-10-26,1,799,1000.4375,1000.4375
48256,14240,2012-10-26,1,799,1000.4375,1000.4375
48257,19282,2012-10-26,1,759,782.99,782.99
48258,19287,2012-10-26,1,761,782.99,782.99
48259,27085,2012-10-26,1,762,782.99,782.99
48260,27099,2012-10-26,1,760,782.99,782.99
48261,27101,2012-10-26,1,763,782.99,782.99
48262,24909,2012-10-26,1,799,1000.4375,1000.4375
48263,26435,2012-10-26,1,763,782.99,782.99
48264,26437,2012-10-26,1,763,782.99,782.99
48265,16945,2012-10-27,1,790,2443.35,2443.35
48266,13713,2012-10-27,1,791,2443.35,2443.35
48267,27102,2012-10-27,1,762,782.99,782.99
48268,22406,2012-10-27,1,791,2443.35,2443.35
48269,20863,2012-10-27,1,761,782.99,782.99
48270,13081,2012-10-27,1,783,2049.0982,2049.0982
48271,28727,2012-10-28,1,781,2071.4196,2071.4196
48272,14931,2012-10-28,1,792,2181.5625,2181.5625
48273,16589,2012-10-28,1,790,2443.35,2443.35
48274,22404,2012-10-28,1,791,2443.35,2443.35
48275,24907,2012-10-28,1,800,1000.4375,1000.4375
48276,26429,2012-10-28,1,761,782.99,782.99
48277,12287,2012-10-29,1,783,2049.0982,2049.0982
48278,16305,2012-10-29,1,789,2443.35,2443.35
48279,14121,2012-10-29,1,797,1000.4375,1000.4375
48280,13487,2012-10-29,1,795,2181.5625,2181.5625
48281,13492,2012-10-29,1,792,2181.5625,2181.5625
48282,26540,2012-10-29,1,784,2049.0982,2049.0982
48283,15389,2012-10-29,1,760,782.99,782.99
48284,22577,2012-10-29,1,795,2181.5625,2181.5625
48285,15372,2012-10-29,1,760,782.99,782.99
48400,20830,2012-10-30,1,762,782.99,782.99
48401,16451,2012-10-30,1,794,2181.5625,2181.5625
48402,17627,2012-10-30,1,796,2181.5625,2181.5625
48403,14285,2012-10-30,1,798,1000.4375,1000.4375
48404,13730,2012-10-30,1,795,2181.5625,2181.5625
48405,12316,2012-10-30,1,781,2071.4196,2071.4196
48406,15473,2012-10-30,1,762,782.99,782.99
48407,22913,2012-10-30,1,794,2181.5625,2181.5625
48408,22927,2012-10-30,1,796,2181.5625,2181.5625
48409,22940,2012-10-30,1,791,2443.35,2443.35
48410,26649,2012-10-30,1,782,2049.0982,2049.0982
48411,17182,2012-10-31,1,792,2181.5625,2181.5625
48412,19310,2012-10-31,1,770,782.99,782.99
48413,14288,2012-10-31,1,798,1000.4375,1000.4375
48414,13718,2012-10-31,1,790,2443.35,2443.35
48415,26634,2012-10-31,1,781,2071.4196,2071.4196
48416,15472,2012-10-31,1,759,782.99,782.99
48417,22932,2012-10-31,1,789,2443.35,2443.35
48418,13114,2012-10-31,1,779,2071.4196,2071.4196
48419,26585,2012-10-31,1,768,782.99,782.99
48420,14957,2012-11-01,1,795,2181.5625,2181.5625
48421,19361,2012-11-01,1,800,1000.4375,1000.4375
48422,16946,2012-11-01,1,796,2181.5625,2181.5625
48423,19297,2012-11-01,1,769,782.99,782.99
48424,15070,2012-11-01,1,795,2181.5625,2181.5625
48425,16475,2012-11-01,1,796,2181.5625,2181.5625
48426,14253,2012-11-01,1,798,1000.4375,1000.4375
48427,14289,2012-11-01,1,801,1000.4375,1000.4375
48428,13733,2012-11-01,1,792,2181.5625,2181.5625
48429,12385,2012-11-01,1,779,2071.4196,2071.4196
48430,26633,2012-11-01,1,783,2049.0982,2049.0982
48431,26619,2012-11-01,1,780,2071.4196,2071.4196
48432,23098,2012-11-01,1,795,2181.5625,2181.5625
48433,23102,2012-11-01,1,796,2181.5625,2181.5625
48434,22912,2012-11-01,1,795,2181.5625,2181.5625
48435,22953,2012-11-01,1,795,2181.5625,2181.5625
48436,14267,2012-11-02,1,801,1000.4375,1000.4375
48437,15466,2012-11-02,1,761,782.99,782.99
48438,13117,2012-11-02,1,784,2049.0982,2049.0982
48439,17651,2012-11-03,1,801,1000.4375,1000.4375
48440,19309,2012-11-03,1,767,782.99,782.99
48441,26503,2012-11-03,1,801,1000.4375,1000.4375
48442,13735,2012-11-03,1,795,2181.5625,2181.5625
48443,12232,2012-11-03,1,779,2071.4196,2071.4196
48444,26618,2012-11-03,1,784,2049.0982,2049.0982
48445,15411,2012-11-03,1,770,782.99,782.99
48446,27265,2012-11-03,1,768,782.99,782.99
48447,15471,2012-11-03,1,762,782.99,782.99
48448,22987,2012-11-03,1,794,2181.5625,2181.5625
48449,22907,2012-11-03,1,791,2443.35,2443.35
48450,26645,2012-11-03,1,784,2049.0982,2049.0982
48451,13107,2012-11-03,1,782,2049.0982,2049.0982
48452,14998,2012-11-04,1,789,2443.35,2443.35
48453,17647,2012-11-04,1,799,1000.4375,1000.4375
48454,12328,2012-11-04,1,782,2049.0982,2049.0982
48455,12380,2012-11-04,1,783,2049.0982,2049.0982
48456,20651,2012-11-04,1,783,2049.0982,2049.0982
48457,13110,2012-11-04,1,784,2049.0982,2049.0982
48458,17097,2012-11-05,1,792,2181.5625,2181.5625
48459,14966,2012-11-05,1,796,2181.5625,2181.5625
48460,17098,2012-11-05,1,792,2181.5625,2181.5625
48461,18167,2012-11-05,1,801,1000.4375,1000.4375
48462,20828,2012-11-05,1,763,782.99,782.99
48463,17225,2012-11-05,1,792,2181.5625,2181.5625
48464,13734,2012-11-05,1,794,2181.5625,2181.5625
48465,26626,2012-11-05,1,781,2071.4196,2071.4196
48466,15404,2012-11-05,1,765,782.99,782.99
48467,15409,2012-11-05,1,765,782.99,782.99
48468,15433,2012-11-05,1,767,782.99,782.99
48469,22961,2012-11-05,1,795,2181.5625,2181.5625
48470,23105,2012-11-05,1,796,2181.5625,2181.5625
48471,22909,2012-11-05,1,794,2181.5625,2181.5625
48472,22942,2012-11-05,1,793,2181.5625,2181.5625
48473,26641,2012-11-05,1,779,2071.4196,2071.4196
48474,26447,2012-11-05,1,763,782.99,782.99
48475,17214,2012-11-06,1,791,2443.35,2443.35
48476,26512,2012-11-06,1,799,1000.4375,1000.4375
48477,26611,2012-11-06,1,779,2071.4196,2071.4196
48478,22929,2012-11-06,1,792,2181.5625,2181.5625
48479,22939,2012-11-06,1,793,2181.5625,2181.5625
48480,26642,2012-11-06,1,779,2071.4196,2071.4196
48481,20669,2012-11-06,1,782,2049.0982,2049.0982
48482,24912,2012-11-06,1,800,1000.4375,1000.4375
48483,24917,2012-11-06,1,797,1000.4375,1000.4375
48484,13525,2012-11-06,1,779,2071.4196,2071.4196
48485,26587,2012-11-06,1,766,782.99,782.99
48486,20866,2012-11-07,1,770,782.99,782.99
48487,20808,2012-11-07,1,766,782.99,782.99
48488,12229,2012-11-07,1,780,2071.4196,2071.4196
48489,22954,2012-11-07,1,790,2443.35,2443.35
48490,24913,2012-11-07,1,797,1000.4375,1000.4375
48491,13126,2012-11-07,1,782,2049.0982,2049.0982
48492,26567,2012-11-07,1,764,782.99,782.99
48493,12402,2012-11-08,1,784,2049.0982,2049.0982
48494,14272,2012-11-08,1,799,1000.4375,1000.4375
48495,26602,2012-11-08,1,783,2049.0982,2049.0982
48496,26603,2012-11-08,1,784,2049.0982,2049.0982
48497,26606,2012-11-08,1,783,2049.0982,2049.0982
48498,24920,2012-11-08,1,800,1000.4375,1000.4375
48499,13132,2012-11-08,1,782,2049.0982,2049.0982
48500,13135,2012-11-08,1,782,2049.0982,2049.0982
48501,19362,2012-11-08,1,798,1000.4375,1000.4375
48502,26566,2012-11-08,1,766,782.99,782.99
48503,15003,2012-11-09,1,791,2443.35,2443.35
48504,20879,2012-11-09,1,769,782.99,782.99
48505,15071,2012-11-09,1,792,2181.5625,2181.5625
48506,15072,2012-11-09,1,796,2181.5625,2181.5625
48507,14255,2012-11-09,1,801,1000.4375,1000.4375
48508,13736,2012-11-09,1,795,2181.5625,2181.5625
48509,28740,2012-11-09,1,780,2071.4196,2071.4196
48510,26631,2012-11-09,1,780,2071.4196,2071.4196
48511,26635,2012-11-09,1,784,2049.0982,2049.0982
48512,20656,2012-11-09,1,779,2071.4196,2071.4196
48513,15417,2012-11-09,1,759,782.99,782.99
48514,15427,2012-11-09,1,768,782.99,782.99
48515,22959,2012-11-09,1,794,2181.5625,2181.5625
48516,13139,2012-11-09,1,780,2071.4196,2071.4196
48517,16442,2012-11-10,1,789,2443.35,2443.35
48518,19337,2012-11-10,1,797,1000.4375,1000.4375
48519,18176,2012-11-10,1,797,1000.4375,1000.4375
48520,16411,2012-11-10,1,795,2181.5625,2181.5625
48521,16422,2012-11-10,1,792,2181.5625,2181.5625
48522,15064,2012-11-10,1,791,2443.35,2443.35
48523,17203,2012-11-10,1,795,2181.5625,2181.5625
48524,15082,2012-11-10,1,795,2181.5625,2181.5625
48525,14284,2012-11-10,1,799,1000.4375,1000.4375
48526,13724,2012-11-10,1,794,2181.5625,2181.5625
48527,26617,2012-11-10,1,779,2071.4196,2071.4196
48528,22908,2012-11-10,1,796,2181.5625,2181.5625
48529,26638,2012-11-10,1,783,2049.0982,2049.0982
48530,13104,2012-11-10,1,779,2071.4196,2071.4196
48531,13105,2012-11-10,1,783,2049.0982,2049.0982
48532,13112,2012-11-10,1,784,2049.0982,2049.0982
48533,26560,2012-11-10,1,763,782.99,782.99
48534,16448,2012-11-11,1,792,2181.5625,2181.5625
48535,19295,2012-11-11,1,768,782.99,782.99
48536,14256,2012-11-11,1,800,1000.4375,1000.4375
48537,12318,2012-11-11,1,784,2049.0982,2049.0982
48538,22905,2012-11-11,1,796,2181.5625,2181.5625
48539,22921,2012-11-11,1,795,2181.5625,2181.5625
48540,22931,2012-11-11,1,795,2181.5625,2181.5625
48541,22943,2012-11-11,1,789,2443.35,2443.35
48542,26676,2012-11-11,1,783,2049.0982,2049.0982
48543,24918,2012-11-11,1,800,1000.4375,1000.4375
48544,13119,2012-11-11,1,780,2071.4196,2071.4196
48545,12335,2012-11-11,1,783,2049.0982,2049.0982
48546,14960,2012-11-12,1,795,2181.5625,2181.5625
48547,19029,2012-11-12,1,799,1000.4375,1000.4375
48548,16414,2012-11-12,1,791,2443.35,2443.35
48549,14946,2012-11-12,1,794,2181.5625,2181.5625
48550,19315,2012-11-12,1,762,782.99,782.99
48551,20833,2012-11-12,1,764,782.99,782.99
48552,14242,2012-11-12,1,797,1000.4375,1000.4375
48553,13716,2012-11-12,1,791,2443.35,2443.35
48554,26622,2012-11-12,1,784,2049.0982,2049.0982
48555,15399,2012-11-12,1,761,782.99,782.99
48556,22936,2012-11-12,1,795,2181.5625,2181.5625
48557,22958,2012-11-12,1,791,2443.35,2443.35
48558,26684,2012-11-12,1,783,2049.0982,2049.0982
48559,13122,2012-11-12,1,780,2071.4196,2071.4196
48560,26561,2012-11-12,1,762,782.99,782.99
48561,26562,2012-11-12,1,769,782.99,782.99
48562,17085,2012-11-13,1,794,2181.5625,2181.5625
48563,20831,2012-11-13,1,769,782.99,782.99
48564,17218,2012-11-13,1,794,2181.5625,2181.5625
48565,26604,2012-11-13,1,782,2049.0982,2049.0982
48566,22906,2012-11-13,1,794,2181.5625,2181.5625
48567,14948,2012-11-14,1,795,2181.5625,2181.5625
48568,19296,2012-11-14,1,762,782.99,782.99
48569,20726,2012-11-14,1,761,782.99,782.99
48570,26504,2012-11-14,1,801,1000.4375,1000.4375
48571,13726,2012-11-14,1,795,2181.5625,2181.5625
48572,28756,2012-11-14,1,784,2049.0982,2049.0982
48573,15419,2012-11-14,1,763,782.99,782.99
48574,15422,2012-11-14,1,759,782.99,782.99
48575,13123,2012-11-14,1,783,2049.0982,2049.0982
48576,13133,2012-11-14,1,784,2049.0982,2049.0982
48577,26571,2012-11-14,1,766,782.99,782.99
48578,17207,2012-11-15,1,795,2181.5625,2181.5625
48579,13741,2012-11-15,1,796,2181.5625,2181.5625
48580,12231,2012-11-15,1,782,2049.0982,2049.0982
48581,26632,2012-11-15,1,779,2071.4196,2071.4196
48582,15428,2012-11-15,1,770,782.99,782.99
48583,23106,2012-11-15,1,795,2181.5625,2181.5625
48584,22935,2012-11-15,1,796,2181.5625,2181.5625
48585,24919,2012-11-15,1,801,1000.4375,1000.4375
48586,13113,2012-11-15,1,780,2071.4196,2071.4196
48587,26568,2012-11-15,1,760,782.99,782.99
48588,26569,2012-11-15,1,768,782.99,782.99
48589,17646,2012-11-16,1,800,1000.4375,1000.4375
48590,28757,2012-11-16,1,779,2071.4196,2071.4196
48591,28739,2012-11-16,1,782,2049.0982,2049.0982
48592,12266,2012-11-16,1,780,2071.4196,2071.4196
48593,12394,2012-11-16,1,784,2049.0982,2049.0982
48594,26614,2012-11-16,1,784,2049.0982,2049.0982
48595,23097,2012-11-16,1,794,2181.5625,2181.5625
48596,23101,2012-11-16,1,793,2181.5625,2181.5625
48597,26650,2012-11-16,1,779,2071.4196,2071.4196
48598,13106,2012-11-16,1,779,2071.4196,2071.4196
48599,15002,2012-11-17,1,795,2181.5625,2181.5625
48600,18185,2012-11-17,1,799,1000.4375,1000.4375
48601,28728,2012-11-17,1,784,2049.0982,2049.0982
48602,12237,2012-11-17,1,779,2071.4196,2071.4196
48603,28751,2012-11-17,1,781,2071.4196,2071.4196
48604,26609,2012-11-17,1,780,2071.4196,2071.4196
48605,26616,2012-11-17,1,782,2049.0982,2049.0982
48606,22988,2012-11-17,1,789,2443.35,2443.35
48607,22946,2012-11-17,1,795,2181.5625,2181.5625
48608,26644,2012-11-17,1,782,2049.0982,2049.0982
48609,26646,2012-11-17,1,781,2071.4196,2071.4196
48610,13134,2012-11-17,1,782,2049.0982,2049.0982
48611,13518,2012-11-17,1,783,2049.0982,2049.0982
48612,13520,2012-11-17,1,779,2071.4196,2071.4196
48613,14965,2012-11-18,1,794,2181.5625,2181.5625
48614,14976,2012-11-18,1,794,2181.5625,2181.5625
48615,19360,2012-11-18,1,798,1000.4375,1000.4375
48616,13721,2012-11-18,1,793,2181.5625,2181.5625
48617,13725,2012-11-18,1,792,2181.5625,2181.5625
48618,27259,2012-11-18,1,765,782.99,782.99
48619,22934,2012-11-18,1,790,2443.35,2443.35
48620,20665,2012-11-18,1,783,2049.0982,2049.0982
48621,13129,2012-11-18,1,783,2049.0982,2049.0982
48622,13156,2012-11-18,1,781,2071.4196,2071.4196
48623,13108,2012-11-18,1,781,2071.4196,2071.4196
48624,13109,2012-11-18,1,784,2049.0982,2049.0982
48625,26547,2012-11-18,1,767,782.99,782.99
48626,26570,2012-11-18,1,766,782.99,782.99
48627,28758,2012-11-19,1,784,2049.0982,2049.0982
48628,12381,2012-11-19,1,779,2071.4196,2071.4196
48629,24916,2012-11-19,1,801,1000.4375,1000.4375
48630,26623,2012-11-20,1,782,2049.0982,2049.0982
48631,17185,2012-11-20,1,794,2181.5625,2181.5625
48632,17192,2012-11-20,1,796,2181.5625,2181.5625
48633,20875,2012-11-20,1,768,782.99,782.99
48634,12230,2012-11-20,1,784,2049.0982,2049.0982
48635,28750,2012-11-20,1,782,2049.0982,2049.0982
48636,15429,2012-11-20,1,761,782.99,782.99
48637,15474,2012-11-20,1,767,782.99,782.99
48638,15475,2012-11-20,1,766,782.99,782.99
48639,20670,2012-11-20,1,782,2049.0982,2049.0982
48640,26681,2012-11-20,1,781,2071.4196,2071.4196
48641,13524,2012-11-20,1,780,2071.4196,2071.4196
48642,15061,2012-11-21,1,792,2181.5625,2181.5625
48643,20869,2012-11-21,1,770,782.99,782.99
48644,14270,2012-11-21,1,800,1000.4375,1000.4375
48645,14283,2012-11-21,1,800,1000.4375,1000.4375
48646,13722,2012-11-21,1,791,2443.35,2443.35
48647,26625,2012-11-21,1,780,2071.4196,2071.4196
48648,26610,2012-11-21,1,780,2071.4196,2071.4196
48649,15432,2012-11-21,1,768,782.99,782.99
48650,22986,2012-11-21,1,793,2181.5625,2181.5625
